sample	MSMclade_isolate
ERR042811	0
ERR042822	0
ERR042829	0
ERR042836	0
ERR042837	0
ERR042843	0
ERR042848	1
ERR042855	0
ERR047351	0
ERR047389	0
ERR047394	0
ERR047395	0
ERR047396	0
ERR048243	0
ERR049152	0
ERR126963	0
ERR126965	0
ERR126991	0
ERR126992	0
ERR126993	0
ERR127018	0
ERR127037	0
ERR1363958	0
ERR1363959	0
ERR1363960	0
ERR1363961	0
ERR1363962	0
ERR1363963	0
ERR1363964	0
ERR1363965	0
ERR1363966	0
ERR1363967	0
ERR1363969	0
ERR1363970	0
ERR1363971	1
ERR1363972	0
ERR1363973	0
ERR1363974	0
ERR1363975	0
ERR1363976	0
ERR1363977	0
ERR1363978	0
ERR1363979	0
ERR1363980	1
ERR1363981	0
ERR1363982	0
ERR1363983	0
ERR1363984	0
ERR1363985	0
ERR1363987	0
ERR1363988	0
ERR1363989	0
ERR1363990	1
ERR1363991	1
ERR1363992	0
ERR1363993	0
ERR1363994	0
ERR1363995	1
ERR1363996	0
ERR1363997	1
ERR1363999	0
ERR1364000	0
ERR1364001	1
ERR1364002	0
ERR1364003	0
ERR1364004	0
ERR1364005	0
ERR1364007	0
ERR1364008	0
ERR1364009	0
ERR1364010	0
ERR1364011	0
ERR1364013	0
ERR1364014	0
ERR1364015	1
ERR1364016	0
ERR1364017	1
ERR1364018	0
ERR1364019	1
ERR1364020	0
ERR1364021	0
ERR1364022	0
ERR1364023	0
ERR1364024	0
ERR1364025	0
ERR1364026	0
ERR1364027	0
ERR1364028	0
ERR1364030	1
ERR1364031	0
ERR1364032	0
ERR1364033	1
ERR1364034	0
ERR1364035	0
ERR1364036	0
ERR1364037	0
ERR1364038	0
ERR1364039	0
ERR1364040	0
ERR1364041	0
ERR1364042	0
ERR1364043	0
ERR1364044	0
ERR1364045	0
ERR1364046	0
ERR1364047	0
ERR1364048	0
ERR1364049	0
ERR1364050	1
ERR1364051	0
ERR1364052	0
ERR1364053	0
ERR1364054	0
ERR1364055	0
ERR1364056	1
ERR1364057	1
ERR1364058	0
ERR1364059	1
ERR1364060	0
ERR1364061	0
ERR1364062	0
ERR1364063	1
ERR1364064	1
ERR1364065	0
ERR1364066	1
ERR1364067	0
ERR1364068	0
ERR1364069	0
ERR1364070	0
ERR1364071	0
ERR1364073	1
ERR1364074	1
ERR1364078	0
ERR1364079	1
ERR1364080	1
ERR1364081	0
ERR1364083	0
ERR1364084	1
ERR1364086	1
ERR1364087	0
ERR1364088	0
ERR1364089	0
ERR1364090	1
ERR1364091	0
ERR1364092	0
ERR1364094	0
ERR1364095	0
ERR1364097	0
ERR1364098	1
ERR1364099	0
ERR1364101	1
ERR1364102	0
ERR1364103	1
ERR1364105	1
ERR1364106	1
ERR1364107	1
ERR1364108	0
