sample	MSMclade_isolate
SRR3530393	1
SRR3530422	1
SRR3530435	1
SRR3530452	1
SRR3530516	1
SRR3530542	1
SRR3530549	1
SRR3530555	1
SRR3530636	1
SRR3530638	1
SRR3530640	1
SRR3530773	1
SRR3530795	1
SRR3530807	1
SRR3531022	1
SRR3531029	1
SRR3531087	1
SRR3531231	1
SRR3531237	1
SRR3531250	1
SRR3531252	1
SRR3531253	1
SRR3531685	1
SRR3531721	1
SRR3531782	1
SRR3531866	1
SRR3531871	1
SRR3531874	1
SRR3531879	1
SRR3531887	1
SRR3531897	1
SRR3531903	1
SRR4181605	1
SRR4184776	1
SRR4192106	1
SRR4195740	1
SRR4786326	1
SRR4787219	1
SRR4787278	1
SRR4787904	1
SRR4788222	1
SRR5005299	1
SRR5005327	1
SRR5006072	1
SRR5023700	1
SRR5029673	1
ERR1364143	0
ERR1364144	0
ERR1364145	0
ERR1364146	0
ERR1364147	0
ERR1364148	0
ERR1364149	0
ERR1364150	0
ERR1364151	0
ERR1364152	0
ERR1364153	0
ERR1364154	0
ERR1364155	0
ERR1364156	0
ERR1364157	0
ERR1364158	0
ERR1364159	0
ERR1364160	0
ERR1364161	0
ERR1364162	1
ERR1364163	0
ERR1364164	0
ERR1364165	0
ERR1364166	0
ERR1364167	0
ERR1364168	0
ERR1364169	0
ERR1364170	0
ERR1364171	0
ERR1364172	0
ERR1364173	1
ERR1364174	0
ERR1364175	0
ERR1364176	0
ERR1364177	0
ERR1364178	0
ERR1364179	0
ERR1364180	0
ERR1364181	0
ERR1364182	0
ERR1364183	0
ERR1364184	0
ERR1364185	0
ERR1364186	0
ERR1364187	0
ERR1364188	1
ERR1364189	0
ERR1364190	0
ERR1364191	1
ERR1364192	1
ERR1364193	1
ERR1364194	0
ERR1364195	0
ERR1364196	1
ERR1364197	0
ERR1364198	0
ERR1364199	0
ERR1364200	0
ERR1364201	1
ERR1364202	0
ERR1364203	0
ERR1364204	0
ERR1364205	0
ERR1364206	0
ERR1364207	1
ERR1364208	0
ERR1364209	0
ERR1364210	0
ERR1364211	0
ERR1364212	1
ERR1364213	0
ERR1364214	1
ERR1364215	0
ERR1364216	1
ERR1364218	1
ERR1364219	0
ERR1364220	1
ERR1364221	0
ERR1364222	0
ERR1364223	0
ERR1364224	0
ERR1364225	0
ERR1364226	0
ERR1364227	1
ERR1364228	1
ERR1364229	0
ERR1364230	0
ERR1364231	0
ERR1364232	0
ERR1364233	1
ERR1364234	0
ERR1364235	0
ERR1364236	0
ERR1364237	1
ERR1364238	1
ERR1364239	0
ERR1364240	1
ERR1364241	1
ERR1364242	1
ERR1364243	0
ERR1364244	0
ERR1364245	0
ERR1364246	0
ERR1364247	0
ERR1364248	0
ERR1364249	0
ERR1364250	1
ERR1364251	0
ERR1364252	0
ERR1364253	0
ERR1364254	1
ERR1364255	0
ERR1364256	0
ERR1364257	1
ERR1364258	1
ERR1364259	1
